llk.qq.com                    	101.226.129.142
w8.qq.com                     	120.204.10.176
ui.qq.com                     	182.254.4.235, 182.254.78.33
en.qq.com                     	111.30.144.14
best.qq.com                   	182.254.106.31
living.qq.com                 	182.254.106.31
my.qq.com                     	183.232.91.110
doctor.qq.com                 	111.30.137.24, 111.30.144.106
platform.qq.com               	100.116.48.39
dui.vip.qq.com                	183.232.91.110
lvyou.qq.com                  	0.0.0.1
3g.qq.com                     	120.204.10.176
114.qq.com                    	182.254.106.31
it.qq.com                     	111.30.144.71
area.qq.com                   	0.0.0.1
net.qq.com                    	0.0.0.1
rdm.qq.com                    	111.30.137.24, 111.30.144.106
hr.qq.com                     	183.3.226.68
kb.qq.com                     	111.30.132.101
p.qq.com                      	121.51.142.93
cms.qq.com                    	121.51.130.170
app.qq.com                    	120.198.199.170
doc.qq.com                    	111.30.144.86, 111.30.144.87
www.qq.com                    	111.30.144.71
vip.qq.com                    	182.254.106.26
108.qq.com                    	111.13.140.89
angrybirds.qq.com             	0.0.0.1
registry.qq.com               	0.0.0.1
sk.qq.com                     	0.0.0.1
brain.qq.com                  	0.0.0.1
ban.qq.com                    	0.0.0.1
d3.qq.com                     	0.0.0.1
x2.tc.qq.com                  	111.13.140.89
nn.qq.com                     	0.0.0.1
x2.tcdn.qq.com                	111.13.140.89
hera.qq.com                   	121.51.36.103
dcloud.qq.com                 	182.254.4.235, 182.254.78.33
analytics.qq.com              	0.0.0.1
in.qq.com                     	0.0.0.1
ru.qq.com                     	111.30.144.71
money.qq.com                  	111.30.144.71
pt.qq.com                     	0.0.0.1
2008.qq.com                   	111.30.132.101
pic.qq.com                    	111.30.144.86, 111.30.144.87
testing.qq.com                	0.0.0.1
0.qq.com                      	0.0.0.1
hp.qq.com                     	111.13.140.91
smc.qq.com                    	120.198.201.203
fo.qq.com                     	111.13.140.89
cg.qq.com                     	111.13.140.89
s.plcloud.music.qq.com        	120.198.201.203
ie.qq.com                     	111.30.137.24, 111.30.144.106
tour.qq.com                   	0.0.0.1
by.qq.com                     	111.13.140.91
sun.qq.com                    	0.0.0.1
avon.qq.com                   	0.0.0.1
social.qq.com                 	121.51.36.68
wx.qq.com                     	117.135.169.34, 117.144.242.33
finance.qq.com                	111.30.144.71
tuya.qq.com                   	0.0.0.1
pm.qq.com                     	111.30.144.86, 111.30.144.87
train.qq.com                  	0.0.0.1
soft.qq.com                   	111.30.144.86, 111.30.144.87
bi.qq.com                     	111.30.144.71
mb.qq.com                     	111.30.137.24, 111.30.144.106
dragon.qq.com                 	0.0.0.1
sdc.qq.com                    	193.112.227.136
wb.qq.com                     	112.60.0.156
ah.qq.com                     	111.30.132.101
dh.qq.com                     	111.13.140.89
cam.qq.com                    	121.51.130.163
shopping.qq.com               	111.13.140.91
ups.qq.com                    	0.0.0.1
one.qq.com                    	0.0.0.1
pan.qq.com                    	0.0.0.1
hotimg.tc.qq.com              	111.13.140.91
sas.qq.com                    	121.51.142.126
pg.qq.com                     	111.13.140.89
ccs.qq.com                    	111.13.140.89
400.qq.com                    	0.0.0.1
bf.qq.com                     	0.0.0.1
quiz.qq.com                   	0.0.0.1
mv.qq.com                     	111.13.140.90, 111.47.223.228, 111.47.223.240, 111.47.224.182, 111.6.186.220, 111.6.189.183, 111.6.189.186, 111.62.242.61, 111.62.249.112, 111.62.249.114
iq.qq.com                     	0.0.0.1
ns.qq.com                     	0.0.0.1
voice.qq.com                  	111.13.140.91
bof.qq.com                    	183.232.125.183
ace.qq.com                    	0.0.0.1
